emp_no,first_name,last_name,to_date
10013,Eberhardt,Terkki,9999-01-01
10035,Alain,Chappelet,9999-01-01
10052,Heping,Nitsch,9999-01-01
10058,Berhard,McFarlin,9999-01-01
10070,Reuven,Garigliano,9999-01-01
10076,Erez,Ritzmann,9999-01-01
10078,Danel,Mondadori,9999-01-01
10089,Sudharsan,Flasterstein,9999-01-01
10100,Hironobu,Haraldson,9999-01-01
10110,Xuejia,Ullian,9999-01-01
10153,Heekeun,Majewski,9999-01-01
10156,Sumali,Fargier,9999-01-01
10164,Jagoda,Braunmuhl,9999-01-01
10188,Christ,Muchinsky,9999-01-01
10200,Vidya,Awdeh,9999-01-01
10223,Carrsten,Schmiedel,9999-01-01
10244,Foong,Flasterstein,9999-01-01
10269,Taizo,Oxman,9999-01-01
10282,Hercules,Benzmuller,9999-01-01
10312,Rasiah,Deyuan,9999-01-01
10314,Christfried,Apsitis,9999-01-01
10318,Mototsugu,Beilner,9999-01-01
10324,Bernardo,Rouquie,9999-01-01
10326,Masali,Czap,9999-01-01
10330,Kasturi,Bellmore,9999-01-01
10338,Heon,Ranai,9999-01-01
10347,Pradeep,Kaminger,9999-01-01
10351,Tadahiko,Strehl,9999-01-01
10372,Anneli,Frijda,9999-01-01
10380,Alejandro,Kamble,9999-01-01
10384,Feiyu,Luft,9999-01-01
10387,Parto,Wrigley,9999-01-01
10432,Hisao,Tiemann,9999-01-01
10435,Marsha,Tagansky,9999-01-01
10436,Yahiko,Lammel,9999-01-01
10441,Adel,Perfilyeva,9999-01-01
10445,Junichi,Kavanagh,9999-01-01
10458,Gina,Engelmann,9999-01-01
10465,Claudi,Shackel,9999-01-01
10469,Munehiko,Ananiadou,9999-01-01
10470,Peternela,Iwayama,9999-01-01
10474,Kenton,Garnham,9999-01-01
10486,Amstein,Kossowski,9999-01-01
10507,Kasidit,Belinskaya,9999-01-01
10516,Xiadong,Luga,9999-01-01
10533,Mohamadou,Smailagic,9999-01-01
10535,Shalesh,Stroustrup,9999-01-01
10548,Ramalingam,Gunderson,9999-01-01
10564,Jianhao,Thisen,9999-01-01
10579,Aiman,Stentiford,9999-01-01
10581,Odinaldo,Prochazka,9999-01-01
10606,Toshiki,Marakhovsky,9999-01-01
10623,Aleksander,Danlos,9999-01-01
10645,Fumiyo,Esposito,9999-01-01
10653,Otmar,Feinberg,9999-01-01
10656,Sanjay,Litzkow,9999-01-01
10676,Valeri,Danley,9999-01-01
10678,Chriss,Gide,9999-01-01
10688,Xiaopeng,Lanphier,9999-01-01
10702,Bader,Szemeredi,9999-01-01
10716,Aiman,Constantine,9999-01-01
10720,Odinaldo,Kruskal,9999-01-01
10729,Percy,Lorho,9999-01-01
10735,Morrie,Gewali,9999-01-01
10745,Poorav,Ranze,9999-01-01
10749,King,Brendel,9999-01-01
10769,Vishv,Bouloucos,9999-01-01
10784,Weijing,Bottner,9999-01-01
10791,Tadahiko,Sgarro,9999-01-01
10799,Gad,Griswold,9999-01-01
10824,Kirk,Kalsbeek,9999-01-01
10832,Hidde,Bergere,9999-01-01
10835,Tomoyuki,Kermarrec,9999-01-01
10847,Theirry,Danley,9999-01-01
10874,Mahmut,Borstler,9999-01-01
10875,Filipp,Suri,9999-01-01
10877,Subir,Biron,9999-01-01
10897,Arno,Kumaresan,9999-01-01
10909,Georgi,Atchley,9999-01-01
10919,Reinhard,Lindenbaum,9999-01-01
10925,Heng,Waterhouse,9999-01-01
10938,Shaowei,Iisaku,9999-01-01
10969,Premal,Noriega,9999-01-01
10972,Fumiko,Asser,9999-01-01
10974,Muneo,Papsdorf,9999-01-01
10975,Peternela,Birnbaum,9999-01-01
10988,Chinya,Deyuan,9999-01-01
11001,Baziley,Buchter,9999-01-01
11005,Byong,Douceur,9999-01-01
11019,Leon,Huttel,9999-01-01
11021,Srinidhi,Henders,9999-01-01
11022,Apostol,Pintelas,9999-01-01
11027,Remzi,Cappello,9999-01-01
11041,Stamatina,Matheson,9999-01-01
11048,Jaques,Demke,9999-01-01
11051,Przemyslawa,Erol,9999-01-01
11058,Shigeaki,Cyre,9999-01-01
11065,Filipe,Rathonyi,9999-01-01
11067,Vatsa,Rousseau,9999-01-01
11070,Adib,Raney,9999-01-01
11081,Barry,Boyle,9999-01-01
11085,Hailing,Thummel,9999-01-01
11093,Licheng,Kitai,9999-01-01
11118,Sailaja,Gelosh,9999-01-01
11149,Domenico,Imataki,9999-01-01
11164,Alain,Limongiello,9999-01-01
11182,Tze,Steinauer,9999-01-01
11184,Masoud,Theuretzbacher,9999-01-01
11188,Kazuyasu,Kushner,9999-01-01
11194,Giap,Tempesti,9999-01-01
11198,Leif,Gini,9999-01-01
11200,Renny,Junet,9999-01-01
11207,Saeed,Gips,9999-01-01
11211,Yurij,Rissland,9999-01-01
11226,Margareta,Akiyama,9999-01-01
11251,Bezalel,Chinal,9999-01-01
11261,Claudi,Demri,9999-01-01
11272,Frederique,Molenkamp,9999-01-01
11276,Yunming,Cappelletti,9999-01-01
11286,Joydip,Gini,9999-01-01
11318,Gopalakrishnan,Unno,9999-01-01
11329,Limsoon,McConalogue,9999-01-01
11345,Youngkon,Maierhofer,9999-01-01
11347,Anneli,Jonsson,9999-01-01
11365,Toshimi,Shinomoto,9999-01-01
11371,Tadahiko,Masamoto,9999-01-01
11378,Masamitsu,Katiyar,9999-01-01
11415,Sanjiv,Anido,9999-01-01
11421,Josyula,Msuda,9999-01-01
11447,Rasiah,Billawala,9999-01-01
11469,Guttorm,Giaccio,9999-01-01
11486,Itzchak,Ramaiah,9999-01-01
11496,Toshimo,Marakhovsky,9999-01-01
11508,Ronnie,Ritcey,9999-01-01
11514,Georgy,Iwayama,9999-01-01
11515,Ulf,Basawa,9999-01-01
11527,Alagu,Boyle,9999-01-01
11537,DAIDA,Pehl,9999-01-01
11551,Subhrajyoti,Gonthier,9999-01-01
11554,Subhash,Taubenfeld,9999-01-01
11565,Yoshinari,Sankaranarayanan,9999-01-01
11567,Teiji,Mitzlaff,9999-01-01
11574,Candida,Tyugu,9999-01-01
11584,Pradeep,Waymire,9999-01-01
11615,Shem,Isaak,9999-01-01
11624,Adil,Gammage,9999-01-01
11625,Kokou,Hemaspaandra,9999-01-01
11671,Pranjal,Babu,9999-01-01
11673,Henk,Felder,9999-01-01
11674,Dzung,Gyimothy,9999-01-01
11753,Fayez,Nishimukai,9999-01-01
11757,Jackson,Meriste,9999-01-01
11764,Sanjay,Anick,9999-01-01
11766,Nimmagadda,Berztiss,9999-01-01
11767,Ortrud,Kusakabe,9999-01-01
11772,Gaurav,Penz,9999-01-01
11773,Naftaly,Lorys,9999-01-01
11787,Subhada,Garnick,9999-01-01
11788,Georgy,Gopalakrishnan,9999-01-01
11790,Huai,Henseler,9999-01-01
11794,Atreye,Ghandeharizadeh,9999-01-01
11808,Morrie,Rosiles,9999-01-01
11810,Amabile,Bhattacharjee,9999-01-01
11812,Taizo,Merey,9999-01-01
11815,Akemi,Sommen,9999-01-01
11817,Niranjan,Markovitch,9999-01-01
11819,Shigeo,Lampe,9999-01-01
11839,Navid,Falck,9999-01-01
11853,Zeljko,Kusakabe,9999-01-01
11857,Divier,Farrag,9999-01-01
11858,Slavian,Baik,9999-01-01
11867,Basim,Bhattacharjee,9999-01-01
11894,Mitchel,Validov,9999-01-01
11897,Cordelia,Setlzner,9999-01-01
11898,Jinya,Piveteau,9999-01-01
11908,Candida,Iisaku,9999-01-01
11909,Yuichiro,Kobuchi,9999-01-01
11912,Kristian,Giaccio,9999-01-01
11920,Kasturi,Chinal,9999-01-01
11921,Yaghout,Benner,9999-01-01
11971,Dhritiman,Cooke,9999-01-01
11976,Jacqueline,Barvinok,9999-01-01
11983,Jaana,Hedayat,9999-01-01
11985,Baocai,Wiegley,9999-01-01
11990,Chanjung,Matheson,9999-01-01
12014,Apostol,Lunt,9999-01-01
12026,Moon,Pleszkun,9999-01-01
12027,Zhanqiu,Vuskovic,9999-01-01
12029,Jaana,Nourani,9999-01-01
12032,Oguz,Etalle,9999-01-01
12037,Arunas,Katzenelson,9999-01-01
